Running with 50000 chromosomes for 1 generations
Chromosome stats:
  IN_H: 12
  IN_W: 12
  HLC: 2
  NPL: 128
Level seed: 1215069295
srand seed: 10
----------------------------
Running generation 1/1
Player 0 fitness: 95.3667
Player 1 fitness: 95.5667
Player 2 fitness: 96.1333
Player 3 fitness: 99.9667
Player 4 fitness: 99.7667
Player 5 fitness: 133.4667
Player 6 fitness: 208.2667
Player 7 fitness: 99.9667
Player 8 fitness: 171.3333
Player 9 fitness: 99.7667
Player 10 fitness: 96.1333
Player 11 fitness: 139.2667
Player 12 fitness: 99.7667
Player 13 fitness: 196.3667
Player 14 fitness: 117.9000
Player 15 fitness: 114.2667
Player 16 fitness: 95.5667
Player 17 fitness: 976.5667
Player 18 fitness: 99.9667
Player 19 fitness: 95.3667
Player 20 fitness: 99.9667
Player 21 fitness: 96.1333
Player 22 fitness: 124.8667
Player 23 fitness: 646.3000
Player 24 fitness: 99.7667
Player 25 fitness: 163.0333
Player 26 fitness: 153.0000
Player 27 fitness: 99.7667
Player 28 fitness: 95.3667
Player 29 fitness: 909.9667
Player 30 fitness: 95.3667
Player 31 fitness: 95.3667
Player 32 fitness: 99.9667
Player 33 fitness: 99.7667
Player 34 fitness: 95.5667
Player 35 fitness: 245.4000
Player 36 fitness: 133.2000
Player 37 fitness: 146.7667
Player 38 fitness: 142.8000
Player 39 fitness: 172.8667
Player 40 fitness: 99.9667
Player 41 fitness: 254.7333
Player 42 fitness: 99.9667
Player 43 fitness: 96.1333
Player 44 fitness: 95.3667
Player 45 fitness: 100.6333
Player 46 fitness: 95.5667
Player 47 fitness: 96.1333
Player 48 fitness: 397.0334
Player 49 fitness: 96.1333
Player 50 fitness: 402.4333
Player 51 fitness: 99.9667
Player 52 fitness: 95.5667
Player 53 fitness: 99.9667
Player 54 fitness: 95.5667
Player 55 fitness: 198.7000
Player 56 fitness: 96.1333
Player 57 fitness: 96.1333
Player 58 fitness: 99.9667
Player 59 fitness: 276.5000
Player 60 fitness: 95.5667
Player 61 fitness: 114.2667
Player 62 fitness: 96.1333
Player 63 fitness: 95.5667
Player 64 fitness: 259.3667
Player 65 fitness: 95.5667
Player 66 fitness: 95.5667
Player 67 fitness: 1333.3333
Player 68 fitness: 124.8667
Player 69 fitness: 114.7000
Player 70 fitness: 96.1333
Player 71 fitness: 178.3667
Player 72 fitness: 131.0333
Player 73 fitness: 153.5667
Player 74 fitness: 499.2000
Player 75 fitness: 145.2000
Player 76 fitness: 95.3667
Player 77 fitness: 99.7667
Player 78 fitness: 96.1333
Player 79 fitness: 95.3667
Player 80 fitness: 99.7667
Player 81 fitness: 95.3667
Player 82 fitness: 179.5667
Player 83 fitness: 145.2000
Player 84 fitness: 95.5667
Player 85 fitness: 95.5667
Player 86 fitness: 153.4000
Player 87 fitness: 96.1333
Player 88 fitness: 202.2667
Player 89 fitness: 96.1333
Player 90 fitness: 95.5667
Player 91 fitness: 95.3667
Player 92 fitness: 95.5667
Player 93 fitness: 96.1333
Player 94 fitness: 99.9667
Player 95 fitness: 395.1000
Player 96 fitness: 95.5667
Player 97 fitness: 96.1333
Player 98 fitness: 96.1333
Player 99 fitness: 99.9667
Player 100 fitness: 95.5667
Player 101 fitness: 99.7667
Player 102 fitness: 96.1333
Player 103 fitness: 95.5667
Player 104 fitness: 95.5667
Player 105 fitness: 95.3667
Player 106 fitness: 95.5667
Player 107 fitness: 96.1333
Player 108 fitness: 124.8667
Player 109 fitness: 95.5667
Player 110 fitness: 96.1333
Player 111 fitness: 95.5667
Player 112 fitness: 95.5667
Player 113 fitness: 607.0000
Player 114 fitness: 110.0333
Player 115 fitness: 99.7667
Player 116 fitness: 95.3667
Player 117 fitness: 95.5667
Player 118 fitness: 145.2000
Player 119 fitness: 180.5667
Player 120 fitness: 114.2667
Player 121 fitness: 96.1333
Player 122 fitness: 99.9667
Player 123 fitness: 667.2667
Player 124 fitness: 95.5667
Player 125 fitness: 121.4000
Player 126 fitness: 95.5667
Player 127 fitness: 772.6334
Player 128 fitness: 99.7667
Player 129 fitness: 95.5667
Player 130 fitness: 95.5667
Player 131 fitness: 99.9667
Player 132 fitness: 506.8000
Player 133 fitness: 95.5667
Player 134 fitness: 96.1333
Player 135 fitness: 281.6000
Player 136 fitness: 95.3667
Player 137 fitness: 96.1333
Player 138 fitness: 99.9667
Player 139 fitness: 155.0000
Player 140 fitness: 99.9667
Player 141 fitness: 96.1333
Player 142 fitness: 99.7667
Player 143 fitness: 115.0667
Player 144 fitness: 95.5667
Player 145 fitness: 232.3667
Player 146 fitness: 107.0333
Player 147 fitness: 99.9667
Player 148 fitness: 95.5667
Player 149 fitness: 199.4000
Player 150 fitness: 95.5667
Player 151 fitness: 189.3000
Player 152 fitness: 141.5000
Player 153 fitness: 95.5667
Player 154 fitness: 209.5333
Player 155 fitness: 96.1333
Player 156 fitness: 99.7667
Player 157 fitness: 99.9667
Player 158 fitness: 99.9667
Player 159 fitness: 99.7667
Player 160 fitness: 748.2999
Player 161 fitness: 267.2000
Player 162 fitness: 99.7667
Player 163 fitness: 99.9667
Player 164 fitness: 95.3667
Player 165 fitness: 96.1333
Player 166 fitness: 95.5667
Player 167 fitness: 99.7667
Player 168 fitness: 143.2000
Player 169 fitness: 266.7000
Player 170 fitness: 258.4333
Player 171 fitness: 99.7667
Player 172 fitness: 172.9333
Player 173 fitness: 95.5667
Player 174 fitness: 95.5667
Player 175 fitness: 151.6000
Player 176 fitness: 99.9667
Player 177 fitness: 195.1000
Player 178 fitness: 96.1333
Player 179 fitness: 95.3667
Player 180 fitness: 99.9667
Player 181 fitness: 114.2667
Player 182 fitness: 95.3667
Player 183 fitness: 95.5667
Player 184 fitness: 96.1333
Player 185 fitness: 95.5667
Player 186 fitness: 95.3667
Player 187 fitness: 95.5667
Player 188 fitness: 95.5667
Player 189 fitness: 145.2000
Player 190 fitness: 116.4333
Player 191 fitness: 99.9667
Player 192 fitness: 95.5667
Player 193 fitness: 145.2000
Player 194 fitness: 95.5667
Player 195 fitness: 95.3667
Player 196 fitness: 99.9667
Player 197 fitness: 95.5667
Player 198 fitness: 205.4667
Player 199 fitness: 95.5667
Player 200 fitness: 96.1333
Player 201 fitness: 99.7667
Player 202 fitness: 99.9667
Player 203 fitness: 96.1333
Player 204 fitness: 553.8667
Player 205 fitness: 99.9667
Player 206 fitness: 96.1333
Player 207 fitness: 744.7000
Player 208 fitness: 95.5667
Player 209 fitness: 189.4000
Player 210 fitness: 99.7667
Player 211 fitness: 95.5667
Player 212 fitness: 132.9000
Player 213 fitness: 95.5667
Player 214 fitness: 131.3667
Player 215 fitness: 96.1333
Player 216 fitness: 99.7667
Player 217 fitness: 95.3667
Player 218 fitness: 99.9667
Player 219 fitness: 221.8333
Player 220 fitness: 479.2666
Player 221 fitness: 95.5667
Player 222 fitness: 99.9667
Player 223 fitness: 99.9667
Player 224 fitness: 99.9667
Player 225 fitness: 135.5667
Player 226 fitness: 215.2667
Player 227 fitness: 96.1333
Player 228 fitness: 145.2000
Player 229 fitness: 142.8000
Player 230 fitness: 95.3667
Player 231 fitness: 95.5667
Player 232 fitness: 95.5667
Player 233 fitness: 96.1333
Player 234 fitness: 95.3667
Player 235 fitness: 95.5667
Player 236 fitness: 95.5667
Player 237 fitness: 95.3667
Player 238 fitness: 260.0000
Player 239 fitness: 96.1333
Player 240 fitness: 95.3667
Player 241 fitness: 95.3667
Player 242 fitness: 95.5667
Player 243 fitness: 95.5667
Player 244 fitness: 95.5667
Player 245 fitness: 95.5667
Player 246 fitness: 99.9667
Player 247 fitness: 453.0000
Player 248 fitness: 116.4667
Player 249 fitness: 122.8667
Player 250 fitness: 99.7667
Player 251 fitness: 115.0667
Player 252 fitness: 114.2667
Player 253 fitness: 196.3000
Player 254 fitness: 95.5667
Player 255 fitness: 454.5000
Player 256 fitness: 542.1666
Player 257 fitness: 99.9667
Player 258 fitness: 95.5667
Player 259 fitness: 96.1333
Player 260 fitness: 185.1333
Player 261 fitness: 96.1333
Player 262 fitness: 95.3667
Player 263 fitness: 96.1333
Player 264 fitness: 155.0000
Player 265 fitness: 95.5667
Player 266 fitness: 251.0333
Player 267 fitness: 99.9667
Player 268 fitness: 95.5667
Player 269 fitness: 96.1333
Player 270 fitness: 99.9667
Player 271 fitness: 158.8000
Player 272 fitness: 95.5667
Player 273 fitness: 374.1000
Player 274 fitness: 479.8667
Player 275 fitness: 99.9667
Player 276 fitness: 205.4667
Player 277 fitness: 421.9666
Player 278 fitness: 426.2000
Player 279 fitness: 99.9667
Player 280 fitness: 96.1333
Player 281 fitness: 99.9667
Player 282 fitness: 95.3667
Player 283 fitness: 95.5667
Player 284 fitness: 99.9667
Player 285 fitness: 185.1333
Player 286 fitness: 99.7667
Player 287 fitness: 95.5667
Player 288 fitness: 95.3667
Player 289 fitness: 294.5334
Player 290 fitness: 96.1333
Player 291 fitness: 209.4667
Player 292 fitness: 99.9667
Player 293 fitness: 99.9667
Player 294 fitness: 163.3000
Player 295 fitness: 145.2000
Player 296 fitness: 96.1333
Player 297 fitness: 95.5667
Player 298 fitness: 99.9667
Player 299 fitness: 95.5667
Player 300 fitness: 99.7667
Player 301 fitness: 520.8666
Player 302 fitness: 95.3667
Player 303 fitness: 114.0000
Player 304 fitness: 95.3667
Player 305 fitness: 253.4333
Player 306 fitness: 863.9333
Player 307 fitness: 96.1333
Player 308 fitness: 99.7667
Player 309 fitness: 95.5667
Player 310 fitness: 95.5667
Player 311 fitness: 99.9667
Player 312 fitness: 96.1333
Player 313 fitness: 268.0667
Player 314 fitness: 96.1333
Player 315 fitness: 96.1333
Player 316 fitness: 99.7667
Player 317 fitness: 124.2667
Player 318 fitness: 95.5667
Player 319 fitness: 95.5667
Player 320 fitness: 164.5333
Player 321 fitness: 271.9333
Player 322 fitness: 95.3667
Player 323 fitness: 96.1333
Player 324 fitness: 270.1333
Player 325 fitness: 416.4000
Player 326 fitness: 95.5667
Player 327 fitness: 95.3667
Player 328 fitness: 95.5667
Player 329 fitness: 95.5667
Player 330 fitness: 119.4667
Player 331 fitness: 95.3667
Player 332 fitness: 95.5667
Player 333 fitness: 95.5667
Player 334 fitness: 99.9667
Player 335 fitness: 95.3667
Player 336 fitness: 95.5667
Player 337 fitness: 225.8000
Player 338 fitness: 95.5667
Player 339 fitness: 476.4333
Player 340 fitness: 99.9667
Player 341 fitness: 95.5667
Player 342 fitness: 95.5667
Player 343 fitness: 99.7667
Player 344 fitness: 95.5667
Player 345 fitness: 99.7667
Player 346 fitness: 121.4000
Player 347 fitness: 95.5667
Player 348 fitness: 95.5667
Player 349 fitness: 108.7667
Player 350 fitness: 235.6000
Player 351 fitness: 184.1333
Player 352 fitness: 205.8667
Player 353 fitness: 167.5000
Player 354 fitness: 95.5667
Player 355 fitness: 96.1333
Player 356 fitness: 806.3333
Player 357 fitness: 99.9667
Player 358 fitness: 96.1333
Player 359 fitness: 99.9667
Player 360 fitness: 95.5667
Player 361 fitness: 99.9667
Player 362 fitness: 95.3667
Player 363 fitness: 119.7000
Player 364 fitness: 95.5667
Player 365 fitness: 99.9667
Player 366 fitness: 95.5667
Player 367 fitness: 275.5334
Player 368 fitness: 115.6333
Player 369 fitness: 96.1333
Player 370 fitness: 99.7667
Player 371 fitness: 115.0667
Player 372 fitness: 229.1667
Player 373 fitness: 95.3667
Player 374 fitness: 99.9667
Player 375 fitness: 96.1333
Player 376 fitness: 95.5667
Player 377 fitness: 595.6667
Player 378 fitness: 115.6333
Player 379 fitness: 99.9667
Player 380 fitness: 246.3333
Player 381 fitness: 121.4000
Player 382 fitness: 95.5667
Player 383 fitness: 848.0667
Player 384 fitness: 96.1333
Player 385 fitness: 261.2667
Player 386 fitness: 99.9667
Player 387 fitness: 96.1333
Player 388 fitness: 915.3666
Player 389 fitness: 96.1333
Player 390 fitness: 115.6333
Player 391 fitness: 95.5667
Player 392 fitness: 95.5667
Player 393 fitness: 95.5667
Player 394 fitness: 203.7000
Player 395 fitness: 124.8667
Player 396 fitness: 99.7667
Player 397 fitness: 139.2333
Player 398 fitness: 95.3667
Player 399 fitness: 204.8333
Player 400 fitness: 99.7667
Player 401 fitness: 95.5667
Player 402 fitness: 210.3333
Player 403 fitness: 427.3667
Player 404 fitness: 234.8000
Player 405 fitness: 99.9667
Player 406 fitness: 99.7667
Player 407 fitness: 95.3667
Player 408 fitness: 99.7667
Player 409 fitness: 943.5000
Player 410 fitness: 516.6000
Player 411 fitness: 99.9667
Player 412 fitness: 96.1333
Player 413 fitness: 99.9667
Player 414 fitness: 205.4667
Player 415 fitness: 271.2667
Player 416 fitness: 121.4000
Player 417 fitness: 99.9667
Player 418 fitness: 95.3667
Player 419 fitness: 95.5667
Player 420 fitness: 99.9667
